h,v,BurnedCells,month,year
9.0,2.0,0.82,5.0,2100.0
9.0,2.0,2.34,6.0,2100.0
9.0,2.0,5.56,7.0,2100.0
9.0,2.0,1.3,8.0,2100.0
9.0,2.0,2.41,9.0,2100.0
9.0,2.0,0.65,10.0,2100.0
9.0,2.0,0.65,11.0,2100.0
9.0,2.0,16.62,12.0,2100.0
10.0,2.0,0.0,1.0,2051.0
10.0,2.0,0.0,2.0,2051.0
10.0,2.0,0.48,3.0,2051.0
10.0,2.0,305.54,4.0,2051.0
10.0,2.0,17.9,5.0,2051.0
10.0,2.0,14.59,6.0,2051.0
10.0,2.0,1162.97,7.0,2051.0
10.0,2.0,1093.32,8.0,2051.0
10.0,2.0,35.63,9.0,2051.0
10.0,2.0,64.58,10.0,2051.0
10.0,2.0,341.95,11.0,2051.0
10.0,2.0,1.88,12.0,2051.0
10.0,2.0,35.14,1.0,2052.0
10.0,2.0,20.5,2.0,2052.0
10.0,2.0,7.59,3.0,2052.0
10.0,2.0,325.64,4.0,2052.0
10.0,2.0,62.96,5.0,2052.0
10.0,2.0,146.4,6.0,2052.0
10.0,2.0,193.57,7.0,2052.0
10.0,2.0,247.26,8.0,2052.0
10.0,2.0,43.75,9.0,2052.0
10.0,2.0,2.14,10.0,2052.0
10.0,2.0,20.19,11.0,2052.0
10.0,2.0,0.0,12.0,2052.0
10.0,2.0,0.0,1.0,2053.0
10.0,2.0,14.54,2.0,2053.0
10.0,2.0,20.5,3.0,2053.0
10.0,2.0,632.04,4.0,2053.0
10.0,2.0,14.19,5.0,2053.0
10.0,2.0,94.87,6.0,2053.0
10.0,2.0,127.0,7.0,2053.0
10.0,2.0,309.83,8.0,2053.0
10.0,2.0,75.59,9.0,2053.0
10.0,2.0,38.26,10.0,2053.0
10.0,2.0,374.52,11.0,2053.0
10.0,2.0,0.39,12.0,2053.0
10.0,2.0,38.5,1.0,2054.0
10.0,2.0,0.0,2.0,2054.0
10.0,2.0,353.54,3.0,2054.0
10.0,2.0,265.39,4.0,2054.0
10.0,2.0,90.42,5.0,2054.0
10.0,2.0,89.18,6.0,2054.0
10.0,2.0,526.68,7.0,2054.0
10.0,2.0,236.93,8.0,2054.0
10.0,2.0,36.72,9.0,2054.0
10.0,2.0,15.38,10.0,2054.0
10.0,2.0,323.93,11.0,2054.0
10.0,2.0,2.37,12.0,2054.0
10.0,2.0,115.14,1.0,2055.0
10.0,2.0,14.93,2.0,2055.0
10.0,2.0,0.0,3.0,2055.0
10.0,2.0,308.34,4.0,2055.0
10.0,2.0,11.59,5.0,2055.0
10.0,2.0,53.66,6.0,2055.0
10.0,2.0,190.05,7.0,2055.0
10.0,2.0,207.62,8.0,2055.0
10.0,2.0,128.79,9.0,2055.0
10.0,2.0,336.86,10.0,2055.0
10.0,2.0,420.27,11.0,2055.0
10.0,2.0,1.54,12.0,2055.0
10.0,2.0,0.65,1.0,2056.0
10.0,2.0,30.45,2.0,2056.0
10.0,2.0,0.0,3.0,2056.0
10.0,2.0,0.0,4.0,2056.0
10.0,2.0,17.47,5.0,2056.0
10.0,2.0,466.22,6.0,2056.0
10.0,2.0,192.68,7.0,2056.0
10.0,2.0,223.24,8.0,2056.0
10.0,2.0,55.44,9.0,2056.0
10.0,2.0,62.32,10.0,2056.0
10.0,2.0,22.59,11.0,2056.0
10.0,2.0,0.0,12.0,2056.0
10.0,2.0,0.41,1.0,2057.0
10.0,2.0,0.0,2.0,2057.0
10.0,2.0,2.72,3.0,2057.0
10.0,2.0,1.4,4.0,2057.0
10.0,2.0,20.09,5.0,2057.0
10.0,2.0,142.75,6.0,2057.0
10.0,2.0,160.78,7.0,2057.0
10.0,2.0,192.79,8.0,2057.0
10.0,2.0,46.42,9.0,2057.0
10.0,2.0,317.67,10.0,2057.0
10.0,2.0,323.71,11.0,2057.0
10.0,2.0,2.85,12.0,2057.0
10.0,2.0,18.22,1.0,2058.0
10.0,2.0,0.54,2.0,2058.0
10.0,2.0,0.0,3.0,2058.0
10.0,2.0,307.04,4.0,2058.0
10.0,2.0,23.08,5.0,2058.0
10.0,2.0,175.73,6.0,2058.0
10.0,2.0,414.6,7.0,2058.0
10.0,2.0,220.3,8.0,2058.0
10.0,2.0,117.66,9.0,2058.0
