h,v,BurnedCells,month,year
10.0,2.0,34.39,2.0,2054.0
10.0,2.0,5.04,2.0,2055.0
10.0,2.0,3.92,2.0,2056.0
10.0,2.0,0.01,2.0,2057.0
10.0,2.0,15.28,2.0,2058.0
10.0,2.0,0.38,2.0,2059.0
10.0,2.0,12.4,2.0,2060.0
10.0,2.0,65.55,2.0,2091.0
10.0,2.0,1.79,2.0,2092.0
10.0,2.0,0.0,2.0,2093.0
10.0,2.0,2.25,2.0,2094.0
10.0,2.0,80.16,2.0,2095.0
10.0,2.0,11.17,2.0,2096.0
10.0,2.0,80.7,2.0,2097.0
10.0,2.0,0.05,2.0,2098.0
10.0,2.0,9.67,2.0,2099.0
10.0,2.0,81.1,2.0,2100.0
10.0,2.0,79.75,3.0,2051.0
10.0,2.0,3.52,3.0,2052.0
10.0,2.0,9.96,3.0,2053.0
10.0,2.0,10.09,3.0,2054.0
10.0,2.0,3.72,3.0,2055.0
10.0,2.0,3.49,3.0,2056.0
10.0,2.0,3.46,3.0,2057.0
10.0,2.0,60.47,3.0,2058.0
10.0,2.0,58.43,3.0,2059.0
10.0,2.0,26.95,3.0,2060.0
10.0,2.0,13.36,3.0,2091.0
10.0,2.0,5.9,3.0,2092.0
10.0,2.0,6.35,3.0,2093.0
10.0,2.0,9.2,3.0,2094.0
10.0,2.0,10.8,3.0,2095.0
10.0,2.0,12.43,3.0,2096.0
10.0,2.0,84.17,3.0,2097.0
10.0,2.0,80.69,3.0,2098.0
10.0,2.0,4.76,3.0,2099.0
10.0,2.0,89.38,3.0,2100.0
10.0,2.0,138.32,4.0,2051.0
10.0,2.0,26.09,4.0,2052.0
10.0,2.0,96.17,4.0,2053.0
10.0,2.0,135.13,4.0,2054.0
10.0,2.0,7.36,4.0,2055.0
10.0,2.0,12.44,4.0,2056.0
10.0,2.0,48.87,4.0,2057.0
10.0,2.0,102.08,4.0,2058.0
10.0,2.0,90.24,4.0,2059.0
10.0,2.0,7.72,4.0,2060.0
10.0,2.0,32.45,4.0,2091.0
10.0,2.0,15.24,4.0,2092.0
10.0,2.0,14.08,4.0,2093.0
10.0,2.0,4.99,4.0,2094.0
10.0,2.0,7.73,4.0,2095.0
10.0,2.0,98.75,4.0,2096.0
10.0,2.0,87.08,4.0,2097.0
10.0,2.0,86.45,4.0,2098.0
10.0,2.0,5.33,4.0,2099.0
10.0,2.0,100.64,4.0,2100.0
10.0,2.0,142.0,5.0,2051.0
10.0,2.0,13.81,5.0,2052.0
10.0,2.0,108.54,5.0,2053.0
10.0,2.0,155.16,5.0,2054.0
10.0,2.0,10.08,5.0,2055.0
10.0,2.0,15.66,5.0,2056.0
10.0,2.0,137.33,5.0,2057.0
10.0,2.0,117.05,5.0,2058.0
10.0,2.0,130.04,5.0,2059.0
10.0,2.0,176.32,5.0,2060.0
10.0,2.0,45.35,5.0,2091.0
10.0,2.0,25.76,5.0,2092.0
10.0,2.0,90.7,5.0,2093.0
10.0,2.0,91.6,5.0,2094.0
10.0,2.0,90.05,5.0,2095.0
10.0,2.0,17.56,5.0,2096.0
10.0,2.0,27.9,5.0,2097.0
10.0,2.0,107.16,5.0,2098.0
10.0,2.0,17.06,5.0,2099.0
10.0,2.0,1236.51,5.0,2100.0
10.0,2.0,666.51,6.0,2051.0
10.0,2.0,1448.39,6.0,2052.0
10.0,2.0,1537.42,6.0,2053.0
10.0,2.0,2570.48,6.0,2054.0
10.0,2.0,868.43,6.0,2055.0
10.0,2.0,3390.14,6.0,2056.0
